ID,Year,M,D,H,1,2,sum,sump
0131-002,2011,1,17,14,753,777,1530,1314
0131-002,2011,1,17,15,860,881,1741,1530
0131-002,2011,1,17,16,902,860,1762,1741
0131-002,2011,1,17,17,860,874,1734,1762
0131-002,2011,1,17,18,945,1090,2035,1734
0131-002,2011,1,17,19,937,1114,2051,2035
0131-002,2011,1,17,20,787,898,1685,2051
0131-002,2011,1,17,21,654,756,1410,1685
0131-002,2011,1,17,22,606,649,1255,1410
0131-002,2011,1,17,23,474,384,858,1255
0131-002,2011,1,17,24,353,274,627,858
0131-002,2011,1,18,1,228,182,410,627
0131-002,2011,1,18,2,193,152,345,410
0131-002,2011,1,18,3,111,81,192,345
0131-002,2011,1,18,4,96,96,192,192
0131-002,2011,1,18,5,98,94,192,192
0131-002,2011,1,18,6,123,149,272,192
0131-002,2011,1,18,7,243,220,463,272
0131-002,2011,1,18,8,544,442,986,463
0131-002,2011,1,18,9,748,701,1449,986
0131-002,2011,1,18,10,650,650,1300,1449
0131-002,2011,1,18,11,740,814,1554,1300
0131-002,2011,1,18,12,815,854,1669,1554
0131-002,2011,1,18,13,841,1013,1854,1669
0131-002,2011,1,18,14,890,1037,1927,1854
0131-002,2011,1,18,15,963,1035,1998,1927
0131-002,2011,1,18,16,922,1035,1957,1998
0131-002,2011,1,18,17,966,1060,2026,1957
0131-002,2011,1,18,18,879,975,1854,2026
0131-002,2011,1,18,19,804,920,1724,1854
0131-002,2011,1,18,20,654,645,1299,1724
0131-002,2011,1,18,21,545,540,1085,1299
0131-002,2011,1,18,22,484,427,911,1085
0131-002,2011,1,18,23,359,284,643,911
0131-002,2011,1,18,24,254,180,434,643
0131-002,2011,1,19,1,281,255,536,434
0131-002,2011,1,19,2,204,191,395,536
0131-002,2011,1,19,3,142,112,254,395
0131-002,2011,1,19,4,128,129,257,254
0131-002,2011,1,19,5,103,112,215,257
0131-002,2011,1,19,6,115,166,281,215
0131-002,2011,1,19,7,198,191,389,281
0131-002,2011,1,19,8,295,302,597,389
0131-002,2011,1,19,9,481,642,1123,597
0131-002,2011,1,19,10,484,596,1080,1123
0131-002,2011,1,19,11,623,769,1392,1080
0131-002,2011,1,19,12,656,952,1608,1392
0131-002,2011,1,19,13,775,915,1690,1608
0131-002,2011,1,19,14,871,955,1826,1690
0131-002,2011,1,19,15,905,978,1883,1826
0131-002,2011,1,19,16,989,1006,1995,1883
0131-002,2011,1,19,17,982,885,1867,1995
0131-002,2011,1,19,18,984,782,1766,1867
0131-002,2011,1,19,19,859,605,1464,1766
0131-002,2011,1,19,20,616,475,1091,1464
0131-002,2011,1,19,21,579,459,1038,1091
0131-002,2011,1,19,22,468,394,862,1038
0131-002,2011,1,19,23,376,295,671,862
0131-002,2011,1,19,24,242,228,470,671
0131-002,2011,1,20,1,139,110,249,470
0131-002,2011,1,20,2,90,79,169,249
0131-002,2011,1,20,3,56,56,112,169
0131-002,2011,1,20,4,58,55,113,112
0131-002,2011,1,20,5,65,72,137,113
0131-002,2011,1,20,6,117,137,254,137
0131-002,2011,1,20,7,351,322,673,254
0131-002,2011,1,20,8,822,642,1464,673
0131-002,2011,1,20,9,875,834,1709,1464
0131-002,2011,1,20,10,706,725,1431,1709
0131-002,2011,1,20,11,744,802,1546,1431
0131-002,2011,1,20,12,769,761,1530,1546
0131-002,2011,1,20,13,740,741,1481,1530
0131-002,2011,1,20,14,813,839,1652,1481
0131-002,2011,1,20,15,851,855,1706,1652
0131-002,2011,1,20,16,885,867,1752,1706
0131-002,2011,1,20,17,872,906,1778,1752
0131-002,2011,1,20,18,872,988,1860,1778
0131-002,2011,1,20,19,825,920,1745,1860
0131-002,2011,1,20,20,667,748,1415,1745
0131-002,2011,1,20,21,579,739,1318,1415
0131-002,2011,1,20,22,493,490,983,1318
0131-002,2011,1,20,23,371,316,687,983
0131-002,2011,1,20,24,254,220,474,687
0131-002,2011,1,21,1,189,147,336,474
0131-002,2011,1,21,2,146,118,264,336
0131-002,2011,1,21,3,100,76,176,264
0131-002,2011,1,21,4,89,83,172,176
0131-002,2011,1,21,5,84,107,191,172
0131-002,2011,1,21,6,112,121,233,191
0131-002,2011,1,21,7,344,330,674,233
0131-002,2011,1,21,8,878,700,1578,674
0131-002,2011,1,21,9,901,832,1733,1578
0131-002,2011,1,21,10,783,794,1577,1733
0131-002,2011,1,21,11,789,807,1596,1577
0131-002,2011,1,21,12,729,670,1399,1596
0131-002,2011,1,21,13,673,687,1360,1399
0131-002,2011,1,21,14,779,798,1577,1360
0131-002,2011,1,21,15,879,841,1720,1577
0131-002,2011,1,21,16,814,790,1604,1720
0131-002,2011,1,21,17,835,844,1679,1604
0131-002,2011,1,21,18,894,1002,1896,1679
0131-002,2011,1,21,19,863,1064,1927,1896
0131-002,2011,1,21,20,690,746,1436,1927
0131-002,2011,1,21,21,598,661,1259,1436
0131-002,2011,1,21,22,522,549,1071,1259
0131-002,2011,1,21,23,390,290,680,1071
0131-002,2011,1,21,24,279,255,534,680
0131-002,2011,1,22,1,191,160,351,534
0131-002,2011,1,22,2,124,115,239,351
0131-002,2011,1,22,3,90,79,169,239
0131-002,2011,1,22,4,80,74,154,169
0131-002,2011,1,22,5,76,86,162,154
0131-002,2011,1,22,6,117,131,248,162
0131-002,2011,1,22,7,342,320,662,248
0131-002,2011,1,22,8,802,671,1473,662
0131-002,2011,1,22,9,902,936,1838,1473
0131-002,2011,1,22,10,753,780,1533,1838
0131-002,2011,1,22,11,796,852,1648,1533
0131-002,2011,1,22,12,778,868,1646,1648
0131-002,2011,1,22,13,711,752,1463,1646
0131-002,2011,1,22,14,784,878,1662,1463
0131-002,2011,1,22,15,851,926,1777,1662
0131-002,2011,1,22,16,870,934,1804,1777
0131-002,2011,1,22,17,816,935,1751,1804
0131-002,2011,1,22,18,904,958,1862,1751
0131-002,2011,1,22,19,935,1055,1990,1862
0131-002,2011,1,22,20,689,672,1361,1990
0131-002,2011,1,22,21,584,559,1143,1361
0131-002,2011,1,22,22,568,426,994,1143
0131-002,2011,1,22,23,455,346,801,994
0131-002,2011,1,22,24,302,231,533,801
0131-002,2011,1,23,1,174,118,292,533
0131-002,2011,1,23,2,117,89,206,292
0131-002,2011,1,23,3,73,54,127,206
0131-002,2011,1,23,4,68,58,126,127
0131-002,2011,1,23,5,67,66,133,126
0131-002,2011,1,23,6,86,88,174,133
0131-002,2011,1,23,7,262,204,466,174
0131-002,2011,1,23,8,638,434,1072,466
0131-002,2011,1,23,9,687,589,1276,1072
0131-002,2011,1,23,10,573,529,1102,1276
0131-002,2011,1,23,11,615,557,1172,1102
0131-002,2011,1,23,12,587,530,1117,1172
