ID,Year,M,D,H,1,2
0130-001,2011,01,17,12,1446,1813
0130-001,2011,01,17,13,1338,1180
0130-001,2011,01,17,14,1551,1332
0130-001,2011,01,17,15,1572,1386
0130-001,2011,01,17,16,1512,1203
0130-001,2011,01,17,17,1497,1355
0130-001,2011,01,17,18,1422,1456
0130-001,2011,01,17,19,1465,1646
0130-001,2011,01,17,20,1154,1286
0130-001,2011,01,17,21,1107,1247
0130-001,2011,01,17,22,937,969
0130-001,2011,01,17,23,684,1086
0130-001,2011,01,17,24,448,687
0130-001,2011,01,18,01,338,239
0130-001,2011,01,18,02,202,176
0130-001,2011,01,18,03,162,168
0130-001,2011,01,18,04,141,259
0130-001,2011,01,18,05,139,221
0130-001,2011,01,18,06,218,253
0130-001,2011,01,18,07,569,601
0130-001,2011,01,18,08,1570,1591
0130-001,2011,01,18,09,1815,1568
0130-001,2011,01,18,10,1431,1455
0130-001,2011,01,18,11,1564,1584
0130-001,2011,01,18,12,1490,1323
0130-001,2011,01,18,13,1354,1205
0130-001,2011,01,18,14,1472,1307
0130-001,2011,01,18,15,1541,1351
0130-001,2011,01,18,16,1415,1525
0130-001,2011,01,18,17,1369,1351
0130-001,2011,01,18,18,1363,1419
0130-001,2011,01,18,19,1468,1657
0130-001,2011,01,18,20,1105,1121
0130-001,2011,01,18,21,999,1094
0130-001,2011,01,18,22,838,1088
0130-001,2011,01,18,23,648,1413
0130-001,2011,01,18,24,455,891
0130-001,2011,01,19,01,344,368
0130-001,2011,01,19,02,192,224
0130-001,2011,01,19,03,166,194
0130-001,2011,01,19,04,139,171
0130-001,2011,01,19,05,155,180
0130-001,2011,01,19,06,234,250
0130-001,2011,01,19,07,578,651
0130-001,2011,01,19,08,1152,1208
0130-001,2011,01,19,09,1590,1664
0130-001,2011,01,19,10,1284,1244
0130-001,2011,01,19,11,1387,1471
0130-001,2011,01,19,12,1389,1578
0130-001,2011,01,19,13,1210,1340
0130-001,2011,01,19,14,1297,1394
0130-001,2011,01,19,15,1457,1619
0130-001,2011,01,19,16,1378,1516
0130-001,2011,01,19,17,1085,1168
0130-001,2011,01,19,18,1375,1579
0130-001,2011,01,19,19,1509,1861
0130-001,2011,01,19,20,1121,1240
0130-001,2011,01,19,21,927,987
0130-001,2011,01,19,22,828,872
0130-001,2011,01,19,23,690,738
0130-001,2011,01,19,24,459,571
0130-001,2011,01,20,01,324,1020
0130-001,2011,01,20,02,227,757
0130-001,2011,01,20,03,170,200
0130-001,2011,01,20,04,150,171
0130-001,2011,01,20,05,144,164
0130-001,2011,01,20,06,234,308
0130-001,2011,01,20,07,595,732
0130-001,2011,01,20,08,1426,1774
0130-001,2011,01,20,09,1729,2146
0130-001,2011,01,20,10,1455,1815
0130-001,2011,01,20,11,1437,1750
0130-001,2011,01,20,12,1323,1457
0130-001,2011,01,20,13,1110,1169
0130-001,2011,01,20,14,1324,1309
0130-001,2011,01,20,15,1444,1574
0130-001,2011,01,20,16,1442,1479
0130-001,2011,01,20,17,1335,1128
0130-001,2011,01,20,18,1369,1320
0130-001,2011,01,20,19,1611,1669
0130-001,2011,01,20,20,1115,1275
0130-001,2011,01,20,21,946,1073
0130-001,2011,01,20,22,879,1052
0130-001,2011,01,20,23,768,868
0130-001,2011,01,20,24,556,675
0130-001,2011,01,21,01,366,383
0130-001,2011,01,21,02,253,263
0130-001,2011,01,21,03,158,163
0130-001,2011,01,21,04,134,132
0130-001,2011,01,21,05,159,149
0130-001,2011,01,21,06,264,256
0130-001,2011,01,21,07,608,663
0130-001,2011,01,21,08,1534,1619
0130-001,2011,01,21,09,1751,1755
0130-001,2011,01,21,10,1464,1537
0130-001,2011,01,21,11,1481,1750
0130-001,2011,01,21,12,1453,1622
0130-001,2011,01,21,13,1349,1374
0130-001,2011,01,21,14,1533,1393
0130-001,2011,01,21,15,1628,1412
0130-001,2011,01,21,16,1709,1752
0130-001,2011,01,21,17,1589,1526
0130-001,2011,01,21,18,1597,1386
0130-001,2011,01,21,19,1676,1850
0130-001,2011,01,21,20,1283,1342
0130-001,2011,01,21,21,1000,1138
0130-001,2011,01,21,22,1014,1067
0130-001,2011,01,21,23,843,823
0130-001,2011,01,21,24,606,591
0130-001,2011,01,22,01,436,436
0130-001,2011,01,22,02,321,323
0130-001,2011,01,22,03,243,229
0130-001,2011,01,22,04,209,152
0130-001,2011,01,22,05,208,174
0130-001,2011,01,22,06,263,239
0130-001,2011,01,22,07,467,466
0130-001,2011,01,22,08,916,940
0130-001,2011,01,22,09,1335,1375
0130-001,2011,01,22,10,1332,1254
0130-001,2011,01,22,11,1431,1587
0130-001,2011,01,22,12,1599,1842
0130-001,2011,01,22,13,1413,1293
0130-001,2011,01,22,14,1554,1349
0130-001,2011,01,22,15,1684,1512
0130-001,2011,01,22,16,1665,1481
0130-001,2011,01,22,17,1628,1375
0130-001,2011,01,22,18,1675,1485
0130-001,2011,01,22,19,1426,1164
0130-001,2011,01,22,20,1078,860
0130-001,2011,01,22,21,890,811
0130-001,2011,01,22,22,777,754
0130-001,2011,01,22,23,594,580
0130-001,2011,01,22,24,451,698
0130-001,2011,01,23,01,350,780
0130-001,2011,01,23,02,240,344
0130-001,2011,01,23,03,205,211
0130-001,2011,01,23,04,158,200
0130-001,2011,01,23,05,151,177
0130-001,2011,01,23,06,194,224
0130-001,2011,01,23,07,297,320
0130-001,2011,01,23,08,449,571
0130-001,2011,01,23,09,679,854
0130-001,2011,01,23,10,763,766
0130-001,2011,01,23,11,842,829
0130-001,2011,01,23,12,815,597
0130-001,2011,01,23,13,975,835
0130-001,2011,01,23,14,1107,959
0130-001,2011,01,23,15,1320,1197
0130-001,2011,01,23,16,1395,1297
0130-001,2011,01,23,17,755,702
0130-001,2011,01,23,18,424,379
0130-001,2011,01,23,19,366,405
0130-001,2011,01,23,20,655,673
0130-001,2011,01,23,21,563,613
0130-001,2011,01,23,22,446,474
0130-001,2011,01,23,23,342,372
0130-001,2011,01,23,24,223,248
