Date,Weekday,Time,Traffic
2014-01-15,4 ,1,308
2014-01-15,4 ,2,205
2014-01-15,4 ,3,222
2014-01-15,4 ,4,213
2014-01-15,4 ,5,298
2014-01-15,4 ,6,640
2014-01-15,4 ,7,1331
2014-01-15,4 ,8,1776
2014-01-15,4 ,9,1595
2014-01-15,4 ,10,1670
2014-01-15,4 ,11,1795
2014-01-15,4 ,12,1677
2014-01-15,4 ,13,1865
2014-01-15,4 ,14,2003
2014-01-15,4 ,15,1996
2014-01-15,4 ,16,2177
2014-01-15,4 ,17,2369
2014-01-15,4 ,18,2173
2014-01-15,4 ,19,1938
2014-01-15,4 ,20,1314
2014-01-15,4 ,21,1172
2014-01-15,4 ,22,853
2014-01-15,4 ,23,664
2014-01-16,5 ,0,471
2014-01-16,5 ,1,308
2014-01-16,5 ,2,242
2014-01-16,5 ,3,255
2014-01-16,5 ,4,227
2014-01-16,5 ,5,378
2014-01-16,5 ,6,648
2014-01-16,5 ,7,1328
2014-01-16,5 ,8,1735
2014-01-16,5 ,9,1657
2014-01-16,5 ,10,1751
2014-01-16,5 ,11,1741
2014-01-16,5 ,12,1658
2014-01-16,5 ,13,1853
2014-01-16,5 ,14,1982
2014-01-16,5 ,15,2141
2014-01-16,5 ,16,2286
2014-01-16,5 ,17,2339
2014-01-16,5 ,18,2408
2014-01-16,5 ,19,1745
2014-01-16,5 ,20,1343
2014-01-16,5 ,21,1303
2014-01-16,5 ,22,812
2014-01-16,5 ,23,616
2014-01-17,6 ,0,449
2014-01-17,6 ,1,319
2014-01-17,6 ,2,287
2014-01-17,6 ,3,228
2014-01-17,6 ,4,214
2014-01-17,6 ,5,338
2014-01-17,6 ,6,621
2014-01-17,6 ,7,1326
2014-01-17,6 ,8,1740
2014-01-17,6 ,9,1534
2014-01-17,6 ,10,1729
2014-01-17,6 ,11,1821
2014-01-17,6 ,12,1724
2014-01-17,6 ,13,1896
2014-01-17,6 ,14,2061
2014-01-17,6 ,15,2248
2014-01-17,6 ,16,2280
2014-01-17,6 ,17,2374
2014-01-17,6 ,18,2341
2014-01-17,6 ,19,2158
2014-01-17,6 ,20,1526
2014-01-17,6 ,21,1323
2014-01-17,6 ,22,959
2014-01-17,6 ,23,693
2014-01-18,7 ,0,546
2014-01-18,7 ,1,502
2014-01-18,7 ,2,511
2014-01-18,7 ,3,484
2014-01-18,7 ,4,398
2014-01-18,7 ,5,349
2014-01-18,7 ,6,523
2014-01-18,7 ,7,813
2014-01-18,7 ,8,1318
2014-01-18,7 ,9,1475
2014-01-18,7 ,10,1688
2014-01-18,7 ,11,1896
2014-01-18,7 ,12,1982
2014-01-18,7 ,13,2048
2014-01-18,7 ,14,2135
2014-01-18,7 ,15,2225
2014-01-18,7 ,16,2365
2014-01-18,7 ,17,2404
2014-01-18,7 ,18,2342
2014-01-18,7 ,19,1805
2014-01-18,7 ,20,1277
2014-01-18,7 ,21,1139
2014-01-18,7 ,22,826
2014-01-18,7 ,23,632
2014-01-19,1 ,0,499
2014-01-19,1 ,1,372
2014-01-19,1 ,2,368
2014-01-19,1 ,3,356
2014-01-19,1 ,4,240
2014-01-19,1 ,5,195
2014-01-19,1 ,6,294
2014-01-19,1 ,7,424
2014-01-19,1 ,8,640
2014-01-19,1 ,9,965
2014-01-19,1 ,10,1314
2014-01-19,1 ,11,1440
2014-01-19,1 ,12,1702
2014-01-19,1 ,13,1840
2014-01-19,1 ,14,2095
2014-01-19,1 ,15,2192
2014-01-19,1 ,16,2280
2014-01-19,1 ,17,2230
2014-01-19,1 ,18,1948
2014-01-19,1 ,19,1511
2014-01-19,1 ,20,1306
2014-01-19,1 ,21,1147
2014-01-19,1 ,22,759
2014-01-19,1 ,23,559
2014-01-20,2 ,0,338
2014-01-20,2 ,1,234
2014-01-20,2 ,2,141
2014-01-20,2 ,3,177
2014-01-20,2 ,4,152
2014-01-20,2 ,5,254
2014-01-20,2 ,6,518
2014-01-20,2 ,7,1004
2014-01-20,2 ,8,1219
2014-01-20,2 ,9,1085
2014-01-20,2 ,10,1230
2014-01-20,2 ,11,1492
2014-01-20,2 ,12,1547
2014-01-20,2 ,13,1672
2014-01-20,2 ,14,1870
2014-01-20,2 ,15,1826
2014-01-20,2 ,16,1775
2014-01-20,2 ,17,2204
2014-01-20,2 ,18,2260
2014-01-20,2 ,19,1880
2014-01-20,2 ,20,1372
2014-01-20,2 ,21,851
2014-01-20,2 ,22,535
2014-01-20,2 ,23,409
2014-01-21,3 ,0,276
2014-01-21,3 ,1,188
2014-01-21,3 ,2,156
2014-01-21,3 ,3,175
2014-01-21,3 ,4,171
2014-01-21,3 ,5,261
2014-01-21,3 ,6,523
2014-01-21,3 ,7,1056
2014-01-21,3 ,8,1426
2014-01-21,3 ,9,1292
2014-01-21,3 ,10,1420
2014-01-21,3 ,11,1440
2014-01-21,3 ,12,1589
2014-01-21,3 ,13,1747
2014-01-21,3 ,14,1904
2014-01-21,3 ,15,1967
2014-01-21,3 ,16,1969
2014-01-21,3 ,17,2084
2014-01-21,3 ,18,2139
2014-01-21,3 ,19,1707
2014-01-21,3 ,20,1197
2014-01-21,3 ,21,1126
2014-01-21,3 ,22,787
2014-01-21,3 ,23,571
2014-01-22,4 ,0,476
2014-01-22,4 ,1,289
2014-01-22,4 ,2,251
2014-01-22,4 ,3,215
2014-01-22,4 ,4,207
2014-01-22,4 ,5,316
2014-01-22,4 ,6,595
2014-01-22,4 ,7,1337
2014-01-22,4 ,8,1676
2014-01-22,4 ,9,1519
2014-01-22,4 ,10,1686
2014-01-22,4 ,11,1715
2014-01-22,4 ,12,1674
2014-01-22,4 ,13,1846
2014-01-22,4 ,14,1997
2014-01-22,4 ,15,2065
2014-01-22,4 ,16,2105
2014-01-22,4 ,17,2379
2014-01-22,4 ,18,2078
2014-01-22,4 ,19,1933
2014-01-22,4 ,20,1319
2014-01-22,4 ,21,1178
2014-01-22,4 ,22,750
2014-01-22,4 ,23,640
2014-01-23,5 ,0,468
2014-01-23,5 ,1,328
2014-01-23,5 ,2,256
2014-01-23,5 ,3,224
2014-01-23,5 ,4,198
2014-01-23,5 ,5,361
2014-01-23,5 ,6,630
2014-01-23,5 ,7,1268
2014-01-23,5 ,8,1656
2014-01-23,5 ,9,1569
2014-01-23,5 ,10,1791
